Model,MAE,RMSE,r2,R
LSTM-TSLightGBM-1h-4T,5.277699551503266,7.637580199554545,0.4632199664200962,0.7825079153543645
LSTM-TSLightGBM-1h-8T,5.06375441226095,7.458347786854827,0.4031593831578347,0.7530463920618571
LSTM-TSLightGBM-1h-10T,4.868858625482309,7.319912486724852,0.373108106267076,0.7396653684919281
LSTM-TSLightGBM-1h-12T,4.934576366984871,7.358762180668051,0.3548640582487469,0.721822314571997
LSTM-TSLightGBM-1h-16T,4.780762518527701,7.1184846125347745,0.17977551677814907,0.6856966054284629
LSTM-TSLightGBM-1h-18T,4.780915044752674,7.021775611357846,0.20709806325114788,0.6930223343885212
LSTM-TSLightGBM-1h-24T,4.699077174822999,7.084916520293459,0.0934131127725697,0.6486904128574396
LSTM-TSLightGBM-1h-32T,4.33321617324799,6.513498426550388,0.10783289091642989,0.6780339894197949
LSTM-TSLightGBM-2h-4T,6.021020977652953,8.48849192487165,0.2636499650250871,0.7186168719566586
LSTM-TSLightGBM-2h-8T,5.580012446563561,8.136499460554822,0.18753781772900058,0.6886232531202259
LSTM-TSLightGBM-2h-10T,5.566775254479358,8.079102930823627,0.14684694276589483,0.6692929491093877
LSTM-TSLightGBM-2h-12T,5.455511969104268,7.850759958959682,0.17095613980030044,0.657519933271303
LSTM-TSLightGBM-2h-16T,5.260291096029756,7.686010624387637,-0.0893648218473253,0.6232396249929832
LSTM-TSLightGBM-2h-18T,5.189746337730976,7.586743728460524,-0.11901289919205826,0.6267819843194968
LSTM-TSLightGBM-2h-24T,4.9507457338953715,7.232449050190578,-0.08376882383529693,0.6263623768773268
LSTM-TSLightGBM-2h-32T,4.656116003311689,6.667144970939369,-0.037629896452379574,0.5984041882737714
LSTM-TSLightGBM-4h-4T,6.879272076098927,9.487530685135193,-0.19105440789769546,0.6083291518829199
LSTM-TSLightGBM-4h-8T,6.256601287973965,8.921152629631885,-0.17295835848754604,0.5903264553264892
LSTM-TSLightGBM-4h-10T,6.009277950178762,8.564539566768527,-0.15160879233151903,0.5667168200384626
LSTM-TSLightGBM-4h-12T,5.850846903897548,8.404868212221963,-0.42723899778692487,0.5323767182142792
LSTM-TSLightGBM-4h-16T,5.6632964024436605,8.153498057559844,-0.5458233727134916,0.5433924844394314
LSTM-TSLightGBM-4h-18T,5.357129713919299,7.859301875678659,-0.6097564519111249,0.5630126334224519
LSTM-TSLightGBM-4h-24T,5.3301885607942125,7.925082238786539,-0.424461377940049,0.5285093403088367
LSTM-TSLightGBM-4h-32T,5.007769491607808,7.013338380126774,-0.47072834901368954,0.5369857038831047
LSTM-TSLightGBM-8h-4T,6.938840651123421,9.744026010921102,-0.8562801191199405,0.4669307057251805
LSTM-TSLightGBM-8h-8T,6.277425941250121,8.895954210748373,-0.551960228031434,0.4835116994825999
LSTM-TSLightGBM-8h-10T,6.26721815123134,8.997236079748738,-0.8930664920709539,0.4404188135715774
LSTM-TSLightGBM-8h-12T,6.218968993794448,8.814927176476727,-1.254401065536919,0.4344190585778556
LSTM-TSLightGBM-8h-16T,5.812203625301734,8.399254653195435,-0.8031947482493342,0.49163986724539704
LSTM-TSLightGBM-8h-18T,5.960620542129894,8.381980011783773,-0.8400241524568253,0.48759881964267116
LSTM-TSLightGBM-8h-24T,5.666734112522773,8.052458199505347,-1.1831577041786994,0.49876879860044765
LSTM-TSLightGBM-8h-32T,5.283198952578418,7.135103301979184,-1.056668333101825,0.4938829206756757